Step,Training Loss,Validation Loss,Accuracy,F1
312,0.519145,0.286073,0.91632,0.916308
624,0.335442,0.231284,0.9316,0.931592
936,0.248799,0.249583,0.937,0.936961
1248,0.280055,0.195976,0.9416,0.941595
1560,0.223367,0.203042,0.94308,0.943078
1872,0.24546,0.189643,0.94636,0.946358
2184,0.222682,0.203426,0.94516,0.945142
2496,0.214352,0.199771,0.948,0.947998
2808,0.210226,0.221174,0.94288,0.942837
3120,0.208981,0.179262,0.949,0.949
3432,0.110556,0.214003,0.94896,0.94896
3744,0.100382,0.261256,0.94628,0.946264
4056,0.107615,0.249578,0.94976,0.94976
4368,0.10758,0.246761,0.95004,0.95004
4680,0.113062,0.225911,0.94976,0.94976
4992,0.092029,0.295797,0.94536,0.945342
5304,0.123861,0.271804,0.94856,0.948555
5616,0.111513,0.27675,0.94684,0.94683
5928,0.116777,0.238981,0.9488,0.948798
6240,0.117376,0.214536,0.95024,0.950239
6552,0.034218,0.306127,0.9454,0.945368
6864,0.044228,0.303028,0.94444,0.944417
7176,0.048443,0.298039,0.94796,0.947959
7488,0.042341,0.313482,0.94724,0.947234
7800,0.051412,0.300009,0.94916,0.94916
8112,0.043124,0.295545,0.9474,0.947394
8424,0.049162,0.319027,0.94584,0.945829
8736,0.037977,0.316968,0.94828,0.94828
9048,0.040228,0.319353,0.94724,0.947238
9360,0.042199,0.310537,0.94876,0.948759
