Step,Training Loss,Validation Loss,Accuracy,F1
156,1.000051,0.38668,0.87364,0.873517
312,0.361276,0.226175,0.91592,0.915912
468,0.235169,0.20513,0.92704,0.926958
624,0.239973,0.184445,0.93464,0.934616
780,0.210183,0.218363,0.92292,0.922742
936,0.223985,0.180382,0.93432,0.934263
1092,0.187956,0.195102,0.93432,0.93426
1248,0.187842,0.185012,0.94216,0.942149
1404,0.181016,0.174852,0.94296,0.942954
1560,0.179829,0.161718,0.94056,0.940547
1716,0.114015,0.200024,0.94372,0.94372
1872,0.119421,0.178553,0.94168,0.941673
2028,0.110341,0.216854,0.94192,0.941902
2184,0.104724,0.211448,0.94444,0.944436
2340,0.11638,0.187568,0.94436,0.94436
2496,0.107793,0.250376,0.94208,0.942069
2652,0.136562,0.266346,0.93232,0.932181
2808,0.110083,0.191905,0.94464,0.944639
2964,0.111931,0.209048,0.94328,0.943252
3120,0.114938,0.179395,0.94576,0.94576
3276,0.050929,0.25311,0.94336,0.943337
3432,0.046765,0.245134,0.94376,0.943756
3588,0.052723,0.271948,0.94388,0.94388
3744,0.039233,0.277624,0.94388,0.943879
3900,0.053343,0.257696,0.94532,0.94532
4056,0.04877,0.255838,0.94512,0.94512
4212,0.049464,0.26455,0.9444,0.9444
4368,0.038792,0.285206,0.94256,0.942545
4524,0.044785,0.280928,0.94368,0.94368
4680,0.039197,0.301317,0.94272,0.942715
4836,0.031862,0.290122,0.94428,0.94428
4992,0.022561,0.300417,0.94424,0.94424
5148,0.01438,0.327644,0.94376,0.94376
5304,0.019089,0.32197,0.94428,0.944279
5460,0.015763,0.321257,0.9438,0.9438
5616,0.017684,0.353134,0.94336,0.943357
5772,0.010101,0.360648,0.94404,0.94404
