Step,Training Loss,Validation Loss,Accuracy,F1
156,0.758566,0.404387,0.83736,0.837251
312,0.329038,0.259392,0.89812,0.898115
468,0.248593,0.260902,0.90316,0.902959
624,0.253437,0.223085,0.91796,0.917955
780,0.234886,0.221063,0.91276,0.912629
936,0.225092,0.201913,0.92248,0.922477
1092,0.215548,0.213519,0.92332,0.923314
1248,0.223478,0.194799,0.92572,0.925717
1404,0.204945,0.228833,0.91956,0.919431
1560,0.201326,0.197408,0.92512,0.925089
1716,0.144801,0.239221,0.92656,0.92653
1872,0.135334,0.221804,0.9254,0.925392
2028,0.125378,0.260903,0.92928,0.929279
2184,0.139182,0.248914,0.92828,0.928268
2340,0.136215,0.250459,0.9288,0.92879
2496,0.121084,0.296444,0.92896,0.928959
2652,0.161271,0.266612,0.92156,0.921431
2808,0.119361,0.240896,0.93004,0.93004
2964,0.126948,0.273726,0.92848,0.928476
3120,0.138798,0.257764,0.9262,0.926158
3276,0.053254,0.31324,0.9306,0.930589
3432,0.055829,0.368688,0.92472,0.924635
3588,0.056426,0.345361,0.9298,0.9298
3744,0.055069,0.342901,0.9292,0.929199
3900,0.055958,0.362446,0.9288,0.928797
4056,0.053319,0.356071,0.9292,0.9292
4212,0.054792,0.349715,0.92768,0.92768
4368,0.041147,0.375622,0.92792,0.927918
4524,0.057513,0.360774,0.92896,0.928958
4680,0.045495,0.371837,0.92796,0.927957
