Step,Training Loss,Validation Loss,Accuracy,F1
156,0.530381,0.542778,0.75268,0.740496
312,0.420347,0.341864,0.85544,0.85539
468,0.340754,0.44543,0.81292,0.809086
624,0.357592,0.320296,0.86736,0.86735
780,0.351736,0.431958,0.8306,0.827769
936,0.330688,0.323165,0.85868,0.858071
1092,0.318473,0.350095,0.85656,0.855784
1248,0.322409,0.32899,0.864,0.863174
1404,0.305612,0.292493,0.87596,0.875827
1560,0.318959,0.285345,0.87852,0.878507
1716,0.295699,0.313539,0.87696,0.876721
1872,0.287528,0.282308,0.88124,0.881218
2028,0.254415,0.300059,0.88304,0.88303
2184,0.265513,0.279771,0.88404,0.88404
2340,0.258432,0.277222,0.88148,0.881391
2496,0.252232,0.302931,0.87888,0.878662
2652,0.279946,0.288894,0.87976,0.879509
2808,0.271774,0.307604,0.88404,0.883879
2964,0.267566,0.287778,0.88484,0.884839
3120,0.255427,0.282187,0.88608,0.886014
3276,0.196487,0.326434,0.8872,0.887187
3432,0.229887,0.312215,0.88664,0.886612
3588,0.236784,0.297456,0.8834,0.883257
3744,0.222318,0.339859,0.87464,0.874175
3900,0.216377,0.334138,0.87936,0.87896
4056,0.239817,0.309396,0.88944,0.88944
4212,0.234024,0.283131,0.88884,0.888827
4368,0.231787,0.288864,0.88696,0.886859
4524,0.238784,0.27416,0.89296,0.89296
4680,0.208797,0.318284,0.89096,0.89094
4836,0.179703,0.363689,0.88388,0.883661
4992,0.176154,0.383131,0.88568,0.885487
5148,0.205951,0.351445,0.89164,0.89164
5304,0.188969,0.360868,0.8838,0.883524
5460,0.171436,0.374814,0.8912,0.891199
5616,0.176934,0.389303,0.88468,0.884457
5772,0.197928,0.313479,0.893,0.892999
5928,0.189418,0.365392,0.89036,0.890328
6084,0.179049,0.388784,0.88496,0.884787
6240,0.18414,0.425337,0.8828,0.882491
6396,0.149409,0.425209,0.87348,0.872887
