Step,Training Loss,Validation Loss,Accuracy,F1
25,0.614463,0.411923,0.85284,0.852797
50,0.368676,0.314999,0.8646,0.864282
75,0.291686,0.278143,0.8866,0.886541
100,0.288157,0.25865,0.89424,0.894236
125,0.292099,0.25251,0.89736,0.897356
150,0.264537,0.252894,0.89788,0.897868
175,0.264956,0.247116,0.8994,0.899361
200,0.276073,0.24064,0.9036,0.903583
225,0.25409,0.250808,0.89732,0.897104
250,0.249454,0.242289,0.90096,0.900838
275,0.231052,0.233205,0.90524,0.905237
300,0.195843,0.24033,0.90308,0.903049
325,0.195891,0.234926,0.90652,0.906512
350,0.205358,0.229395,0.90896,0.908958
375,0.201747,0.228968,0.9066,0.906588
400,0.195165,0.228991,0.90888,0.90888
425,0.211144,0.237635,0.90584,0.905711
450,0.20943,0.235822,0.90568,0.90562
475,0.190947,0.228627,0.90788,0.907869
500,0.200094,0.234023,0.90836,0.908356
525,0.149395,0.238796,0.9092,0.90919
550,0.163503,0.238424,0.90908,0.909069
575,0.152182,0.238948,0.90956,0.909559
600,0.17751,0.23042,0.9094,0.909395
625,0.162282,0.23126,0.9102,0.9102
650,0.15511,0.232047,0.91088,0.91088
675,0.170176,0.233884,0.90904,0.909029
700,0.135892,0.232566,0.91064,0.910637
725,0.159455,0.235199,0.9102,0.910173
750,0.154977,0.232759,0.91016,0.910153
