Step,Training Loss,Validation Loss,Accuracy,F1
41,0.526315,0.406227,0.81936,0.819017
82,0.392803,0.353818,0.84444,0.84432
123,0.355332,0.357971,0.84008,0.839318
164,0.360966,0.329233,0.85572,0.855651
205,0.346309,0.329045,0.85492,0.854479
246,0.337644,0.332456,0.85892,0.858579
287,0.317777,0.314394,0.86204,0.862013
328,0.333251,0.310217,0.86444,0.86437
369,0.328092,0.305486,0.86756,0.867551
410,0.319247,0.300244,0.87008,0.870064
451,0.288671,0.311768,0.86792,0.867713
492,0.235447,0.314124,0.87012,0.870113
533,0.255158,0.317881,0.87064,0.870587
574,0.23753,0.305669,0.87316,0.87316
615,0.255542,0.297474,0.87076,0.870501
656,0.250469,0.303254,0.87412,0.874074
697,0.2487,0.298183,0.87324,0.873219
738,0.248517,0.303392,0.87404,0.874034
779,0.246774,0.291829,0.87604,0.875999
820,0.263543,0.291708,0.87616,0.876152
861,0.199376,0.322407,0.87592,0.875866
902,0.194566,0.321493,0.87648,0.876434
943,0.196393,0.310305,0.87596,0.875899
984,0.210506,0.308027,0.877,0.876967
1025,0.188153,0.31532,0.87576,0.875727
1066,0.196112,0.315711,0.87708,0.87708
1107,0.190623,0.314028,0.87776,0.877735
1148,0.187937,0.310292,0.878,0.877985
1189,0.194493,0.315561,0.87664,0.876557
1230,0.183662,0.310566,0.87812,0.87811
1251,0.183662,0.31067,0.8778,0.877796
